MitoPathway,MitoPathway Hierarchy,Genes,,
Polycistronic mtRNA processing,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,"Elac2, Fastk, Fastkd1, Fastkd2, Fastkd3, Fastkd5, Grsf1, Hsd17b10, Prorp, Ptcd2, Tbrg4, Trmt10c, Ybey",,
mt-tRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications,"Alkbh1, Cdk5rap1, Dus2, Gtpbp3, Hsd17b10, Mto1, Nsun2, Nsun3, Osgepl1, Pus1, Qtrt1, Rpusd4, Thg1l, Trit1, Trmt1, Trmt10c, Trmt2b, Trmt5, Trmu, Trnt1, Yrdc",,
mt-rRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,"Mettl15, Mettl17, Mettl5, Mrm1, Mrm2, Mrm3, Mtpap, Myg1, Ngrn, Nsun4, Rcc1l, Rpusd3, Rpusd4, Tfb1m, Trit1, Trmt2b, Trub2",,
mt-mRNA modifications,Mitochondrial central dogma > mtRNA metabolism > mt-mRNA modifications,"Angel2, Mtpap, Myg1, Pde12",,
mtRNA stability and decay,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,"Endog, Fastk, Fastkd1, Fastkd2, Fastkd3, Fastkd5, Grsf1, Lactb2, Lrpprc, Mtpap, Pde12, Pnpt1, Rexo2, Rnaseh1, Slirp, Supv3l1, Tbrg4",,
Translation,Mitochondrial central dogma > Translation,"2810006K23Rik, Aars2, Aurkaip1, Cars2, Chchd1, Coa3, Cox14, Dap3, Dars2, Ddx28, Dhx30, Ears2, Eral1, Exd2, Fars2, Fastkd2, Gadd45gip1, Gars, Gatb, Gatc, Gfm1, Gfm2, Grsf1, Gtpbp10, Guf1, Hars2, Hemk1, Iars2, Kars, Lars2, Lrpprc, Malsu1, Mars2, Metap1d, Mettl17, Mief1, Mpv17l2, Mrm2, Mrm3, Mrpl1, Mrpl10, Mrpl11, Mrpl12, Mrpl13, Mrpl14, Mrpl15, Mrpl16, Mrpl17, Mrpl18, Mrpl19, Mrpl2, Mrpl20, Mrpl21, Mrpl22, Mrpl23, Mrpl24, Mrpl27, Mrpl28, Mrpl3, Mrpl30, Mrpl32, Mrpl33, Mrpl34, Mrpl35, Mrpl36, Mrpl37, Mrpl38, Mrpl39, Mrpl4, Mrpl40, Mrpl41, Mrpl42, Mrpl43, Mrpl44, Mrpl45, Mrpl46, Mrpl47, Mrpl48, Mrpl49, Mrpl50, Mrpl51, Mrpl52, Mrpl53, Mrpl54, Mrpl55, Mrpl57, Mrpl58, Mrpl9, Mrps10, Mrps11, Mrps12, Mrps14, Mrps15, Mrps16, Mrps17, Mrps18a, Mrps18b, Mrps18c, Mrps2, Mrps21, Mrps22, Mrps23, Mrps24, Mrps25, Mrps26, Mrps27, Mrps28, Mrps30, Mrps31, Mrps33, Mrps34, Mrps35, Mrps36, Mrps5, Mrps6, Mrps7, Mrps9, Mrrf, Mterf1a, Mterf3, Mterf4, Mtfmt, Mtg1, Mtg2, Mtif2, Mtif3, Mtres1, Mtrf1, Mtrf1l, Nars2, Ngrn, Noa1, Nsun4, Oxa1l, Pars2, Pdf, Ppa2, Ptcd3, Pusl1, Qrsl1, Rars2, Rbfa, Rmnd1, Sars2, Slirp, Taco1, Tars2, Tfb1m, Timm21, Tsfm, Tufm, Vars2, Wars2, Yars2, Ybey",,
Mitochondrial ribosome,Mitochondrial central dogma > Translation > Mitochondrial ribosome,"Aurkaip1, Chchd1, Dap3, Gadd45gip1, Mrpl1, Mrpl10, Mrpl11, Mrpl12, Mrpl13, Mrpl14, Mrpl15, Mrpl16, Mrpl17, Mrpl18, Mrpl19, Mrpl2, Mrpl20, Mrpl21, Mrpl22, Mrpl23, Mrpl24, Mrpl27, Mrpl28, Mrpl3, Mrpl30, Mrpl32, Mrpl33, Mrpl34, Mrpl35, Mrpl36, Mrpl37, Mrpl38, Mrpl39, Mrpl4, Mrpl40, Mrpl41, Mrpl42, Mrpl43, Mrpl44, Mrpl45, Mrpl46, Mrpl47, Mrpl48, Mrpl49, Mrpl50, Mrpl51, Mrpl52, Mrpl53, Mrpl54, Mrpl55, Mrpl57, Mrpl58, Mrpl9, Mrps10, Mrps11, Mrps12, Mrps14, Mrps15, Mrps16, Mrps17, Mrps18a, Mrps18b, Mrps18c, Mrps2, Mrps21, Mrps22, Mrps23, Mrps24, Mrps25, Mrps26, Mrps27, Mrps28, Mrps30, Mrps31, Mrps33, Mrps34, Mrps35, Mrps36, Mrps5, Mrps6, Mrps7, Mrps9, Ptcd3",,
Mitochondrial ribosome assembly,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,"Ddx28, Dhx30, Eral1, Fastkd2, Grsf1, Gtpbp10, Malsu1, Mettl17, Mief1, Mpv17l2, Mrm2, Mrm3, Mterf1a, Mterf3, Mterf4, Mtg1, Mtg2, Ngrn, Noa1, Nsun4, Ptcd3, Rbfa, Tfb1m, Ybey",,
Translation factors,Mitochondrial central dogma > Translation > Translation factors,"2810006K23Rik, Coa3, Cox14, Gfm1, Gfm2, Hemk1, Mrpl58, Mrrf, Mtif2, Mtif3, Mtrf1, Mtrf1l, Taco1, Timm21, Tsfm, Tufm",,
mt-tRNA synthetases,Mitochondrial central dogma > Translation > mt-tRNA synthetases,"Aars2, Cars2, Dars2, Ears2, Fars2, Gars, Gatb, Gatc, Hars2, Iars2, Kars, Lars2, Mars2, Nars2, Pars2, Qrsl1, Rars2, Sars2, Tars2, Vars2, Wars2, Yars2",,
fMet processing,Mitochondrial central dogma > Translation > fMet processing,"Metap1d, Mtfmt, Pdf",,
"Protein import, sorting and homeostasis","Protein import, sorting and homeostasis","Afg1l, Afg3l1, Afg3l2, Agk, Aifm1, Atad1, Atp23, Casp3, Casp8, Casp9, Chchd4, Clpb, Clpp, Clpx, Dnaja3, Dnajc11, Dnajc15, Dnajc19, Dnajc4, Dnlz, Fkbp10, Gfer, Grpel1, Grpel2, Hspd1, Hspe1, Htra2, Ide, Immp1l, Immp2l, Lactb, Lap3, Lonp1, Maip1, Metap1d, Mipep, Mtx1, Mtx2, Mul1, Nln, Nrd1, Oma1, Oxa1l, Pam16, Park7, Parl, Pdf, Phb, Phb2, Pitrm1, Pmpca, Pmpcb, Prss35, Romo1, Samm50, Spg7, Stoml2, Timm10, Timm10b, Timm13, Timm17a, Timm17b, Timm21, Timm22, Timm23, Timm29, Timm44, Timm50, Timm8a1, Timm8a2, Timm8b, Timm9, Tomm20, Tomm20l, Tomm22, Tomm34, Tomm40, Tomm40l, Tomm5, Tomm6, Tomm7, Tomm70a, Trap1, Uqcrc1, Uqcrc2, Usp30, Xpnpep3, Yme1l1",,
Protein import and sorting,"Protein import, sorting and homeostasis > Protein import and sorting","Agk, Aifm1, Chchd4, Dnajc11, Dnajc15, Dnajc19, Gfer, Grpel1, Grpel2, Immp1l, Immp2l, Mipep, Mtx1, Mtx2, Nrd1, Oxa1l, Pam16, Pmpca, Pmpcb, Romo1, Samm50, Timm10, Timm10b, Timm13, Timm17a, Timm17b, Timm21, Timm22, Timm23, Timm29, Timm44, Timm50, Timm8a1, Timm8a2, Timm8b, Timm9, Tomm20, Tomm20l, Tomm22, Tomm34, Tomm40, Tomm40l, Tomm5, Tomm6, Tomm7, Tomm70a, Uqcrc1, Uqcrc2, Xpnpep3",,
TOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM","Tomm20, Tomm22, Tomm34, Tomm40, Tomm40l, Tomm5, Tomm6, Tomm7, Tomm70a",,
SAM,"Protein import, sorting and homeostasis > Protein import and sorting > SAM","Mtx1, Mtx2, Samm50",,
MIA40,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40","Aifm1, Chchd4, Gfer",,
TIM22 carrier pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM22 carrier pathway","Agk, Timm22, Timm29",,
TIM23 presequence pathway,"Protein import, sorting and homeostasis > Protein import and sorting > TIM23 presequence pathway","Romo1, Timm17a, Timm17b, Timm21, Timm23, Timm50",,
Import motor,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor","Dnajc15, Dnajc19, Grpel1, Grpel2, Pam16, Timm44",,
OXA,"Protein import, sorting and homeostasis > Protein import and sorting > OXA",Oxa1l,,
Preprotein cleavage,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage","Immp1l, Immp2l, Mipep, Pmpca, Pmpcb, Uqcrc1, Uqcrc2, Xpnpep3",,
Protein homeostasis,"Protein import, sorting and homeostasis > Protein homeostasis","Afg1l, Afg3l1, Afg3l2, Atad1, Atp23, Casp3, Casp8, Casp9, Clpb, Clpp, Clpx, Dnaja3, Dnajc4, Dnlz, Fkbp10, Hspd1, Hspe1, Htra2, Ide, Immp1l, Immp2l, Lactb, Lap3, Lonp1, Maip1, Metap1d, Mipep, Mul1, Nln, Nrd1, Oma1, Park7, Parl, Pdf, Phb, Phb2, Pitrm1, Pmpca, Pmpcb, Prss35, Spg7, Stoml2, Timm10, Timm10b, Timm13, Timm8a1, Timm8a2, Timm8b, Timm9, Trap1, Usp30, Xpnpep3, Yme1l1",,
Proteases,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases","Afg1l, Afg3l1, Afg3l2, Atad1, Atp23, Casp3, Casp9, Clpb, Clpp, Clpx, Htra2, Ide, Immp1l, Immp2l, Lactb, Lap3, Lonp1, Metap1d, Mipep, Nln, Oma1, Parl, Pitrm1, Pmpca, Pmpcb, Spg7, Usp30, Xpnpep3, Yme1l1",,
Chaperones,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones","Dnaja3, Dnlz, Fkbp10, Hspd1, Hspe1, Maip1, Nrd1, Phb, Phb2, Timm10, Timm10b, Timm13, Timm8a1, Timm8a2, Timm8b, Timm9, Trap1",,
OXPHOS,OXPHOS,"Acad9, Aifm1, Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5g3, Atp5h, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5md, Atp5mpl, Atp5o, Atp5pb, Atpaf1, Atpaf2, Atpif1, Atpsckmt, Bcs1l, Cep89, Cmc1, Cmc2, Coa3, Coa4, Coa5, Coa6, Coa7, Coa8, Cox10, Cox11, Cox14, Cox15, Cox16, Cox17, Cox18, Cox19, Cox20, Cox4i1, Cox4i2, Cox5a, Cox5b, Cox6a1, Cox6a2, Cox6b1, Cox6b2, Cox6c, Cox7a1, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cox8b, Cox8c, Cyc1, Cycs, Cyct, Dmac1, Dmac2, Dmac2l, Ecsit, Fmc1, Foxred1, Hccs, Higd1a, Higd2a, Lyrm2, Lyrm7, mt-Atp6, mt-Atp8, mt-Co1, mt-Co2, mt-Co3, mt-Cytb, mt-Nd1, mt-Nd2, mt-Nd3, mt-Nd4, mt-Nd4l, mt-Nd5, mt-Nd6, Ndufa1, Ndufa10, Ndufa11, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa4, Ndufa5, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufaf1, Ndufaf2, Ndufaf3, Ndufaf4, Ndufaf5, Ndufaf6, Ndufaf7, Ndufaf8, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Nubpl, Pet100, Pet117, Pnkd, Rab5if, Sco1, Sco2, Sdha, Sdhaf1, Sdhaf2, Sdhaf3, Sdhaf4, Sdhb, Sdhc, Sdhd, Smim20, Surf1, Taco1, Timm21, Timmdc1, Tmem126a, Tmem126b, Tmem177, Tmem186, Tmem70, Ttc19, Uqcc1, Uqcc2, Uqcc3, Uqcr10, Uqcr11, Uqcrb, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq",,
OXPHOS subunits,OXPHOS > OXPHOS subunits,"Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5g3, Atp5h, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5md, Atp5mpl, Atp5o, Atp5pb, Atpif1, Cox4i1, Cox4i2, Cox5a, Cox5b, Cox6a1, Cox6a2, Cox6b1, Cox6b2, Cox6c, Cox7a1, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cox8b, Cox8c, Cyc1, Cycs, Cyct, Dmac2l, Hccs, mt-Atp6, mt-Atp8, mt-Co1, mt-Co2, mt-Co3, mt-Cytb, mt-Nd1, mt-Nd2, mt-Nd3, mt-Nd4, mt-Nd4l, mt-Nd5, mt-Nd6, Ndufa1, Ndufa10, Ndufa11, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa4, Ndufa5, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Sdha, Sdhb, Sdhc, Sdhd, Uqcr10, Uqcr11, Uqcrb, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq",,
OXPHOS assembly factors,OXPHOS > OXPHOS assembly factors,"Acad9, Aifm1, Atpaf1, Atpaf2, Atpsckmt, Bcs1l, Cep89, Cmc1, Cmc2, Coa3, Coa4, Coa5, Coa6, Coa7, Coa8, Cox10, Cox11, Cox14, Cox15, Cox16, Cox17, Cox18, Cox19, Cox20, Cox7a2l, Dmac1, Dmac2, Ecsit, Fmc1, Foxred1, Higd1a, Higd2a, Lyrm2, Lyrm7, Ndufaf1, Ndufaf2, Ndufaf3, Ndufaf4, Ndufaf5, Ndufaf6, Ndufaf7, Ndufaf8, Nubpl, Pet100, Pet117, Pnkd, Rab5if, Sco1, Sco2, Sdhaf1, Sdhaf2, Sdhaf3, Sdhaf4, Smim20, Surf1, Taco1, Timm21, Timmdc1, Tmem126a, Tmem126b, Tmem177, Tmem186, Tmem70, Ttc19, Uqcc1, Uqcc2, Uqcc3",,
Complex I,OXPHOS > Complex I,"Acad9, Aifm1, Dmac1, Dmac2, Ecsit, Foxred1, Lyrm2, mt-Nd1, mt-Nd2, mt-Nd3, mt-Nd4, mt-Nd4l, mt-Nd5, mt-Nd6, Ndufa1, Ndufa10, Ndufa11, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa5, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufaf1, Ndufaf2, Ndufaf3, Ndufaf4, Ndufaf5, Ndufaf6, Ndufaf7, Ndufaf8, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3, Nubpl, Timmdc1, Tmem126a, Tmem126b, Tmem186, Tmem70",,
CI subunits,OXPHOS > Complex I > CI subunits,"mt-Nd1, mt-Nd2, mt-Nd3, mt-Nd4, mt-Nd4l, mt-Nd5, mt-Nd6, Ndufa1, Ndufa10, Ndufa11, Ndufa12, Ndufa13, Ndufa2, Ndufa3, Ndufa5, Ndufa6, Ndufa7, Ndufa8, Ndufa9, Ndufab1, Ndufb10, Ndufb11, Ndufb2, Ndufb3, Ndufb4, Ndufb5, Ndufb6, Ndufb7, Ndufb8, Ndufb9, Ndufc1, Ndufc2, Ndufs1, Ndufs2, Ndufs3, Ndufs4, Ndufs5, Ndufs6, Ndufs7, Ndufs8, Ndufv1, Ndufv2, Ndufv3",,
CI assembly factors,OXPHOS > Complex I > CI assembly factors,"Acad9, Aifm1, Dmac1, Dmac2, Ecsit, Foxred1, Lyrm2, Ndufaf1, Ndufaf2, Ndufaf3, Ndufaf4, Ndufaf5, Ndufaf6, Ndufaf7, Ndufaf8, Nubpl, Timmdc1, Tmem126a, Tmem126b, Tmem186, Tmem70",,
Complex II,OXPHOS > Complex II,"Sdha, Sdhaf1, Sdhaf2, Sdhaf3, Sdhaf4, Sdhb, Sdhc, Sdhd",,
CII subunits,OXPHOS > Complex II > CII subunits,"Sdha, Sdhb, Sdhc, Sdhd",,
CII assembly factors,OXPHOS > Complex II > CII assembly factors,"Sdhaf1, Sdhaf2, Sdhaf3, Sdhaf4",,
Complex III,OXPHOS > Complex III,"Bcs1l, Cyc1, Lyrm7, mt-Cytb, Ttc19, Uqcc1, Uqcc2, Uqcc3, Uqcr10, Uqcr11, Uqcrb, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq",,
CIII subunits,OXPHOS > Complex III > CIII subunits,"Cyc1, mt-Cytb, Uqcr10, Uqcr11, Uqcrb, Uqcrc1, Uqcrc2, Uqcrfs1, Uqcrh, Uqcrq",,
CIII assembly factors,OXPHOS > Complex III > CIII assembly factors,"Bcs1l, Lyrm7, Ttc19, Uqcc1, Uqcc2, Uqcc3",,
Complex IV,OXPHOS > Complex IV,"Cep89, Cmc1, Cmc2, Coa3, Coa4, Coa5, Coa6, Coa7, Coa8, Cox10, Cox11, Cox14, Cox15, Cox16, Cox17, Cox18, Cox19, Cox20, Cox4i1, Cox4i2, Cox5a, Cox5b, Cox6a1, Cox6a2, Cox6b1, Cox6b2, Cox6c, Cox7a1, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cox8b, Cox8c, Higd1a, mt-Co1, mt-Co2, mt-Co3, Ndufa4, Pet100, Pet117, Pnkd, Sco1, Sco2, Smim20, Surf1, Taco1, Timm21, Tmem177",,
CIV subunits,OXPHOS > Complex IV > CIV subunits,"Cox4i1, Cox4i2, Cox5a, Cox5b, Cox6a1, Cox6a2, Cox6b1, Cox6b2, Cox6c, Cox7a1, Cox7a2, Cox7a2l, Cox7b, Cox7c, Cox8a, Cox8b, Cox8c, mt-Co1, mt-Co2, mt-Co3, Ndufa4",,
CIV assembly factors,OXPHOS > Complex IV > CIV assembly factors,"Cep89, Cmc1, Cmc2, Coa3, Coa4, Coa5, Coa6, Coa7, Coa8, Cox10, Cox11, Cox14, Cox15, Cox16, Cox17, Cox18, Cox19, Cox20, Higd1a, Pet100, Pet117, Pnkd, Sco1, Sco2, Smim20, Surf1, Taco1, Timm21, Tmem177",,
Complex V,OXPHOS > Complex V,"Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5g3, Atp5h, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5md, Atp5mpl, Atp5o, Atp5pb, Atpaf1, Atpaf2, Atpif1, Atpsckmt, Dmac2l, Fmc1, mt-Atp6, mt-Atp8, Tmem70",,
CV subunits,OXPHOS > Complex V > CV subunits,"Atp5a1, Atp5b, Atp5c1, Atp5d, Atp5e, Atp5g1, Atp5g2, Atp5g3, Atp5h, Atp5j, Atp5j2, Atp5k, Atp5l, Atp5md, Atp5mpl, Atp5o, Atp5pb, Atpif1, Dmac2l, mt-Atp6, mt-Atp8",,
CV assembly factors,OXPHOS > Complex V > CV assembly factors,"Atpaf1, Atpaf2, Atpsckmt, Fmc1, Tmem70",,
Respirasome assembly,OXPHOS > Respirasome assembly,"Cox7a2l, Higd1a, Higd2a, Rab5if",,
Cytochrome C,OXPHOS > Cytochrome C,"Cycs, Cyct, Hccs",,
